"","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL30mg_apx_total","SminL30mg_nex_total","SminL90mg_apx_total","SminL90mg_nex_total","WA_mgd_30_apx","WA_mgd_30_nex","WA_mgd_90_apx","WA_mgd_90_nex"
"39","T. Nelson Elliott Dam","PL0_5141_5140",11.9,0,1.8,0.7,0.6,1.222,5.7,5.1,4.6,1.195,3830.588,4149.644,2971.413,3288.378,128.476,139.111,43.335,37.31
"40","Cedar Run above Occoquan Reservoir","PL3_5360_5250",14.15,0.94,9.7,3.9,3.5,6.169,28.7,28,25.2,3.489,3830.588,4149.644,2971.413,3288.378,131.674,142.309,44.817,38.793
"41","Lake Mead Dam","JB1_8090_0001",0.13,0,0,0,0,0,0,0,0,0,4045.852,4051.691,4045.852,4045.852,134.862,135.056,44.954,44.954
"42","Rivanna River @ James Confluence","JL4_6710_6740",18.13,9.05,34.3,22.9,20.6,13.685,78.8,84.8,76.3,2.446,3958.592,4009.125,3883.452,3940.258,140.799,142.484,45.565,45.362
"43","Rivanna River","JL4_6520_6710",17.26,9.05,32,20.4,18.3,13.635,74.9,79.9,71.9,2.947,3958.592,4009.125,3883.452,3940.258,140.767,142.451,45.889,45.686
"44","Swift Creek","JA2_7290_0001",10.12,0,0.6,0.4,0.4,0.178,8.4,6.1,5.5,2.917,4340.743,4341.17,4436.761,4436.761,144.806,144.821,50.116,51.183
"45","Rocky Pen Run","RU5_6031_6030",6.03,0,0.1,0.1,0.1,0.013,0.4,0.2,0.2,0.231,4710.987,4905.386,4710.987,4829.032,157.041,163.521,52.494,53.805
"46","Rapidan River @ confluence w/Rappahannock","RU4_6040_6030",3.19,1.07,50.1,18.8,16.9,33.243,94.9,55.8,50.2,44.71,3910.567,3920.851,3771.275,3782.357,151.841,152.184,72.352,70.927
"47","Carvins Cove Reservoir","OR3_7740_8271_carvins",12.34,0,0,0,0,0,0,0,0,0,5979.215,6320.919,5452.271,5839.221,199.307,210.697,66.436,64.88
"48","WESTERN BRANCH RESERVOIR:Western Branch Dam","JB2_7800_0001",1.15,0,0,0,0,-0.016,0.1,0.8,0.7,-0.625,6439.264,6445.07,6429.303,6429.303,214.632,214.825,71.143,71.033
"49","George F. Brasfield Dam","JA5_7480_0001",35.79,1.17,18.4,18.9,17,1.398,54.1,57.1,51.4,2.642,6404.519,6490.228,6404.519,6445.686,214.388,217.245,72.869,73.327
"50","Cobbs Creek Reservoir","JL6_6742_6740",0,0,0,0,0,-0.038,0,0.1,0.1,-0.081,8066.601,9946.116,8066.601,9946.116,268.862,331.513,89.577,110.46
"51","Roanoke River (Roanoke)","OR3_7740_8271",19.72,3.52,33.8,58.6,52.7,-18.907,84.1,96.4,86.7,-2.63,8928.929,9455.041,7853.054,8418.479,285.409,302.946,97.51,91.839
"52","Occoquan Main Dam","PL3_5250_0001",85.95,54.94,0,90.9,81.8,-81.794,19.4,148.6,133.8,-114.382,11993.436,12312.492,10964.57,11281.535,346.909,357.544,59.322,51.412
"53","Bath County Pump Store - Upper","JU1_6591_6590",0,0,2,1.5,1.4,0.65,2,1.5,1.4,0.65,11472.962,11576.575,11461.163,11535.422,382.852,386.306,127.898,128.592
"54","Rappahannock River @ Fall Line","RU5_6030_0001",27.41,3.48,101.9,54.8,49.3,52.546,198.2,124.1,111.7,86.496,14434.887,14970.106,14036.825,14451.483,515.129,532.97,216.3,216.484
"55","Middle Potomac River at Fall Line / Little Falls","PM7_4820_0001",1136.74,770.68,741.5,1187.6,1068.9,-327.396,1139.9,1605.2,1444.7,-304.827,28361.911,29558.038,27066.034,27769.713,733.764,773.635,118.088,111.508
"56","Potomac River at Great Falls","PM7_4580_4820",1133.07,770.68,727.3,1166.4,1049.8,-322.542,1126.1,1577.1,1419.4,-293.219,28361.911,29558.038,27066.034,27769.713,736.902,776.773,125.592,119.012
"57","Back Creek - Bath County Lower Dam","JU1_6590_6600",0.01,0,7.5,1.7,1.5,5.98,9.3,4.4,4,5.294,20137.393,20241.006,20125.594,20199.853,675.112,678.566,227.171,227.865
"58","Back Creek","JU2_6600_6810",0.01,0.01,9.8,3.4,3,6.77,12.7,6.7,6,6.677,20169.977,20273.59,20158.178,20232.437,676.709,680.163,228.427,229.121
"59","Back Creek","JU2_6810_6900",0.01,0.01,9.8,3.4,3.1,6.757,12.9,6.9,6.2,6.707,20169.977,20273.59,20158.178,20232.437,676.7,680.154,228.446,229.14
"60","Bloomington/Jennings Randolph","PU3_4451_4450",0,0,38,17,15.3,22.649,101.7,43,38.7,62.998,25855.269,27040.694,25855.269,25855.269,876.483,915.997,328.003,328.003
"61","North Branch Potomac below Bloomington/Jennings Randolph","PU3_4450_4440",0,0,39.4,18.2,16.4,22.985,107.3,44.6,40.2,67.156,25855.269,27040.694,25855.269,25855.269,876.7,916.214,330.691,330.691
"62","Potomac River above Seneca Park","PM7_4620_4580",882.79,770.68,961.4,1085.7,977.1,-15.688,1415.2,1489.6,1340.6,74.543,28361.911,29558.038,27066.034,27769.713,935.256,975.127,363.318,356.738
"63","Dan River @ Kerr Reservoir","OD6_8621_8470",34.8,20.31,203.4,333.8,300.4,-96.983,349.5,564.8,508.3,-158.867,32969.674,34649.068,32969.674,34592.929,1036.298,1092.278,263.636,281.672
"64","Dan River @ South Boston VA","OD6_8660_8621",25.37,17.8,191.7,304.7,274.2,-82.483,323.8,512.6,461.4,-137.52,32969.674,34649.068,32969.674,34592.929,1045.671,1101.651,277.435,295.471
"65","Dan River @ Danville, VA","OD5_8770_8780",23.16,11.73,171.6,279.5,251.6,-79.992,295.4,481.8,433.6,-138.185,32969.674,34649.068,32969.674,34592.929,1047.281,1103.261,277.005,295.041
"66","Dan River below Danville VA","OD5_8780_8660",23.52,17.8,185.2,288.8,259.9,-74.672,314.7,498.2,448.4,-133.725,32969.674,34649.068,32969.674,34592.929,1050.72,1106.7,279.888,297.924
"67","Dan River above Danville, VA","OD5_8900_8770",16.33,11.73,159.4,246.8,222.2,-62.72,263.4,432.1,388.9,-125.48,32969.674,34649.068,32969.674,34592.929,1058.446,1114.426,285.218,303.254
"68","Potomac River North Branch","PU4_4440_3970",0,0,53.8,25.2,22.7,31.081,156,58.2,52.4,103.586,28361.012,29557.123,27064.53,27768.209,965.458,1005.329,382.082,375.495
"69","Potomac River North Branch","PU4_3970_3890",0,0,68.5,35,31.5,36.975,176.6,78.7,70.8,105.833,28361.012,29557.123,27064.53,27768.209,969.268,1009.139,383.534,376.947
"70","Potomac River North Branch @ Cumberland MD","PU4_3890_3990",0,0,123.3,55.1,49.6,73.676,209.9,110.6,99.5,110.374,28361.012,29557.123,27064.53,27768.209,992.992,1032.863,386.469,379.883
"71","Potomac River North Branch","PU4_3990_3780",0,0,123.7,55.1,49.6,74.11,211,111.7,100.6,110.477,28361.012,29557.123,27064.53,27768.209,993.273,1033.143,386.536,379.949
"72","Potomac River North Branch","PU4_3780_3930",0,0,128.7,57.3,51.6,77.045,221.4,120.9,108.8,112.527,28361.012,29557.123,27064.53,27768.209,995.17,1035.04,387.861,381.275
"73","Potomac River North Branch","PU5_3930_4170",0,0,135.2,61.5,55.4,79.782,236.4,127.6,114.8,121.545,28361.012,29557.123,27064.53,27768.209,996.939,1036.81,393.691,387.104
"74","Potomac River above Shenandoah Confluence","PU6_4180_4150",3.22,3.03,447,418,376.2,70.861,689.4,617.6,555.8,133.609,28361.012,29557.123,27064.53,27768.209,991.172,1031.043,401.489,394.902
"75","Potomac River","PU6_3750_3752",3.22,3.03,382.7,353.8,318.4,64.239,608,514.8,463.3,144.761,28361.012,29557.123,27064.53,27768.209,986.892,1026.762,408.698,402.111
"76","Potomac River","PU6_3752_4080",3.22,3.03,389.6,360.7,324.6,65.036,617.1,525.7,473.2,143.971,28361.012,29557.123,27064.53,27768.209,987.407,1027.278,408.187,401.6
"77","Potomac River","PU6_4080_4180",3.22,3.03,392,363,326.7,65.314,621,529,476.1,144.839,28361.012,29557.123,27064.53,27768.209,987.587,1027.457,408.748,402.161
"78","Potomac River","PU6_3730_3750",2.28,2.2,335.3,303.3,272.9,62.355,541.5,429.9,387,154.573,28361.012,29557.123,27064.53,27768.209,985.674,1025.544,415.04,408.454
"79","Potomac River","PU5_4170_4020",1.79,1.79,187.6,94.1,84.7,102.904,310.7,210.5,189.5,121.191,28361.012,29557.123,27064.53,27768.209,1011.885,1051.756,393.462,386.875
"80","Potomac River","PU6_4020_3870",1.79,1.79,202.2,102.7,92.4,109.805,331.5,225.8,203.2,128.259,28361.012,29557.123,27064.53,27768.209,1016.346,1056.217,398.031,391.444
"81","Potomac River","PU6_3870_3690",1.79,1.79,207.7,105.7,95.1,112.584,335.6,228.8,205.9,129.634,28361.012,29557.123,27064.53,27768.209,1018.143,1058.013,398.919,392.333
"82","Potomac River","PU6_3690_3610",1.79,1.79,212.5,113,101.7,110.852,351.1,240,216,135.132,28361.012,29557.123,27064.53,27768.209,1017.023,1056.894,402.473,395.887
"83","Potomac River","PU6_3602_3730",2.28,2.2,263.4,199.5,179.6,83.818,475.5,326.7,294,181.493,28361.012,29557.123,27064.53,27768.209,999.548,1039.418,432.442,425.855
"84","Potomac River","PU6_3600_3602",2.28,2.2,260.1,192.2,173,87.077,471.1,321.2,289.1,182.028,28361.012,29557.123,27064.53,27768.209,1001.655,1041.525,432.788,426.201
"85","Potomac River","PU6_3610_3530",1.79,1.79,226.2,136.6,122.9,103.33,399.9,259.7,233.8,166.113,28361.012,29557.123,27064.53,27768.209,1012.161,1052.031,422.5,415.913
"86","Potomac River","PU6_3530_3440",1.79,1.79,229.6,142.7,128.4,101.201,409.8,265.4,238.8,171.001,28361.012,29557.123,27064.53,27768.209,1010.785,1050.655,425.66,419.073
"87","Potomac River","PU6_3440_3590",1.79,1.79,235,148.8,133.9,101.078,423,275.2,247.7,175.292,28361.012,29557.123,27064.53,27768.209,1010.705,1050.576,428.433,421.847
"88","Potomac River","PU6_3590_3640",1.79,1.79,238.7,155.6,140.1,98.651,438.3,283.1,254.8,183.483,28361.012,29557.123,27064.53,27768.209,1009.136,1049.007,433.728,427.141
"89","Potomac River","PU6_3640_3600",1.79,1.79,249.1,168.9,152,97.092,457.9,300.1,270.1,187.836,28361.012,29557.123,27064.53,27768.209,1008.129,1047.999,436.542,429.955
"90","Potomac River below Monocacy confluence","PM7_4410_4620",779.11,766.94,971.6,948.3,853.5,118.15,1448.1,1391.4,1252.3,195.797,28361.911,29558.038,27066.034,27769.713,1021.771,1061.642,441.698,435.118
"91","Smith River below Philpott","OD3_8630_8720",8.36,0.24,53.2,52.3,47,6.127,77.6,76.7,69,8.561,32969.674,34649.068,32969.674,34592.929,1102.95,1158.93,371.864,389.9
"92","Smith River below Martinsville VA","OD3_8720_8900",13.6,6.11,61.9,61.8,55.6,6.337,99.4,99.2,89.3,10.125,32969.674,34649.068,32969.674,34592.929,1103.085,1159.065,372.875,390.911
"93","Philpott Dam","OD2_8560_8630",0.13,0,64.4,57,51.3,13.112,74.6,59.1,53.2,21.41,32969.674,34649.068,32969.674,34592.929,1107.465,1163.445,380.169,398.206
"94","Potomac River below Point of Rocks","PM7_4200_4410",365.13,363.84,792.8,755.1,679.6,113.19,1280.6,1128.9,1016,264.557,28361.911,29558.038,27066.034,27769.713,1018.564,1058.435,486.145,479.565
"95","Potomac River Near Point of Rocks","PM7_4290_4200",34.63,47.06,789,735.7,662.1,126.92,1272.2,1100.3,990.2,281.941,28361.911,29558.038,27066.034,27769.713,1027.44,1067.311,497.383,490.803
"96","Potomac River","PM7_4150_4290",34.63,47.06,772.2,718.6,646.7,125.495,1252.1,1067,960.3,291.811,28361.911,29558.038,27066.034,27769.713,1026.519,1066.389,503.763,497.183
"97","Jackson River","JU3_6950_7330",45.03,3.65,53.8,8.4,7.5,46.245,75.3,24.5,22,53.243,43493.542,43597.155,43481.743,43556.002,1479.678,1483.132,517.679,518.373
"98","Gathright Dam","JU3_6900_6950",3.57,3.63,80,6.3,5.7,74.337,82.8,16.1,14.5,68.332,43493.542,43597.155,43481.743,43556.002,1497.837,1501.291,527.432,528.126
"99","Jackson River","JU4_7330_7000",45.03,40.94,146.1,16.3,14.7,131.45,167.9,43.8,39.4,128.499,43493.542,43597.155,43481.743,43556.002,1534.756,1538.209,566.325,567.019
"100","James River","JU4_7000_7300",48.85,43.27,167.8,27.6,24.9,142.985,206.6,74.1,66.7,139.89,43493.542,43597.155,43481.743,43556.002,1542.212,1545.666,573.688,574.382
"101","James River","JU5_7300_7510",60.84,56.44,207.9,66.2,59.6,148.279,293.8,147.6,132.9,160.946,43493.542,43597.155,43481.743,43556.002,1545.634,1549.088,587.299,587.993
"102","James River","JU5_7420_7160",61.47,56.61,260.1,116.1,104.5,155.605,424.2,293.7,264.4,159.871,43493.542,43597.155,43481.743,43556.002,1550.37,1553.824,586.604,587.298
"103","James River","JU5_7500_7420",61.47,56.61,235.3,91.5,82.3,152.947,395.4,254.9,229.4,165.992,43493.542,43597.155,43481.743,43556.002,1548.652,1552.105,590.561,591.255
"104","James River","JU5_7510_7500",60.84,56.44,221.4,77.4,69.7,151.737,356.2,198.3,178.5,177.709,43493.542,43597.155,43481.743,43556.002,1547.869,1551.323,598.135,598.829
"105","James River","JL6_7430_7320",89.49,75.86,366.2,234.7,211.2,155.008,632.5,513.6,462.3,170.273,43680.527,43790.19,43681.39,43755.649,1556.217,1559.872,595.406,596.24
"106","James River","JL6_7320_7150",89.49,81.71,378.6,238.9,215,163.592,649.4,520.4,468.3,181.043,43680.527,43790.19,43681.39,43755.649,1561.765,1565.421,602.368,603.202
"107","James River","JL6_7160_7440",82.31,58.31,298.7,171.6,154.5,144.266,514.8,334.2,300.8,213.944,43493.542,43597.155,43481.743,43556.002,1543.04,1546.494,621.558,622.252
"108","James River","JL6_7150_6890",91.18,82.04,423.2,292.9,263.6,159.586,746.5,616.1,554.5,192.055,43680.527,43790.19,43681.39,43755.649,1559.176,1562.831,609.486,610.321
"109","James River @ Scottsville VA","JL6_6890_6990",91.57,82.3,452,325.1,292.6,159.436,819.2,687.3,618.5,200.666,43680.527,43790.19,43681.39,43755.649,1559.079,1562.734,615.052,615.887
"110","James River","JL6_6990_6960",91.57,82.39,452.7,325.6,293,159.647,818.9,686.1,617.5,201.472,43680.527,43790.19,43681.39,43755.649,1559.215,1562.871,615.573,616.408
"111","James River","JL6_6960_6970",91.58,82.4,458.6,331.5,298.3,160.328,836.8,703.5,633.1,203.673,43680.527,43790.19,43681.39,43755.649,1559.656,1563.311,616.996,617.831
"112","James River above Rivanna Confluence, Columbia","JL6_6970_6740",98.75,88.93,464.4,337.7,304,160.482,857,722.6,650.4,206.654,43680.527,43790.19,43681.39,43755.649,1559.755,1563.411,618.923,619.758
"113","James River","JL6_7440_7430",82.98,75.38,370.4,233.5,210.1,160.248,629.8,418.2,376.3,253.451,43680.527,43790.19,43681.39,43755.649,1559.604,1563.259,649.173,650.008
"114","James River @ Fall Line Richmond","JL7_7070_0001",214.05,118.94,588.7,395,355.5,233.177,863.9,724.1,651.7,212.229,55705.72,57745.431,55631.443,57642.023,2007.586,2075.576,756.14,777.654
"115","James River @ Huguenot Bridge","JL7_6800_7070",150.38,97.99,631.2,394.7,355.2,276.003,1052.2,885.8,797.3,254.97,55705.72,57745.431,55631.443,57642.023,2035.269,2103.259,783.768,805.283
"116","James River below Rivanna Confluence above Cartersville","JL6_6740_7100",117.03,97.98,655.2,369.1,332.2,323.026,1024.9,819,737.1,287.76,55705.72,57745.431,55631.443,57642.023,2065.665,2133.656,804.964,826.479
"117","James River @ Cartersville","JL7_7100_7030",117.23,97.99,661.1,374.8,337.4,323.766,1049.6,843.9,759.5,290.078,55705.72,57745.431,55631.443,57642.023,2066.144,2134.134,806.462,827.977
"118","James River below Cartersville","JL7_7030_6800",117.23,97.99,662.7,376.6,339,323.743,1050.9,843.6,759.2,291.707,55705.72,57745.431,55631.443,57642.023,2066.129,2134.119,807.515,829.03
"119","North Anna River above Little River near Doswell","YP3_6700_6670",7.48,0,12,9.5,8.6,3.486,18.5,29.3,26.4,-7.893,89619.29,90239.98,89619.29,89619.29,2989.563,3010.253,990.668,990.668
"120","North Anna Dam","YP2_6390_6330",0.02,0,20,6.7,6,13.964,20,20.5,18.4,1.576,89619.29,90239.98,89619.29,89619.29,2996.336,3017.026,996.789,996.789
"121","North Anna River @ Confluence with South Anna","YP3_6670_6720",9.04,3.61,22.3,11.6,10.4,11.909,35.2,37.8,34,1.186,89662.941,90283.631,89662.954,89662.954,2996.463,3017.152,997.022,997.022
"122","North Anna River @ Hart Corner","YP3_6330_6700",0.02,0,25,9.4,8.5,16.53,31.1,28.5,25.7,5.408,89619.29,90239.98,89619.29,89619.29,2997.995,3018.685,999.266,999.266
"123","Pamunkey River","YP4_6720_6750",11.98,3.84,33.1,21.7,19.5,13.581,78.1,72.1,64.9,13.196,89662.941,90283.631,89662.954,89662.954,2997.544,3018.233,1004.785,1004.785
"124","Pamunkey River @ Fall Line","YP4_6750_0001",12.68,3.84,35.8,23.6,21.2,14.613,84.4,78.3,70.5,13.856,89662.941,90283.631,89662.954,89662.954,2998.211,3018.9,1005.212,1005.212
"125","Smith Mountain and Leesville Dams","OR4_8271_8120",23.77,24.51,375,136.2,122.6,252.424,378.4,233.4,210.1,168.324,332102.047,338038.945,331026.172,332073.253,11233.238,11431.135,3798.829,3798.51
"126","Roanoke River (Altavista)","OR4_8120_7890",26.41,25.75,456.1,160.9,144.8,311.354,499.8,274.8,247.3,252.493,332102.047,338038.945,331026.172,332073.253,11271.331,11469.228,3853.237,3852.917
"127","Roanoke River (Brookneal)","OR5_7890_7970",34.98,32.32,514.7,199.1,179.2,335.545,600.1,346.6,312,288.153,332102.047,338038.945,331026.172,332073.253,11286.969,11484.865,3876.288,3875.968
"128","Roanoke River (Nathalie)","OR5_7970_8200",35.18,32.63,534.6,218.8,196.9,337.762,666.9,380.6,342.6,324.327,332102.047,338038.945,331026.172,332073.253,11288.402,11486.298,3899.672,3899.352
"129","Roanoke River (Scuffletown)","OR5_8200_8370",35.18,32.63,548.9,228.7,205.8,343.117,686.2,398.6,358.8,327.395,332102.047,338038.945,331026.172,332073.253,11291.863,11489.76,3901.655,3901.335
"130","Roanoke River (Staunton)","OR5_8370_8410",35.18,32.63,552.6,229.7,206.7,345.892,685,399.9,359.9,325.098,332102.047,338038.945,331026.172,332073.253,11293.657,11491.554,3900.17,3899.85
"131","Roanoke River (Head Kerr Lake)","OR5_8410_8470",47.82,44.13,576.2,239.2,215.3,360.863,702.9,411,369.9,333.042,332102.047,338038.945,331026.172,332073.253,11303.335,11501.231,3905.305,3904.985
"132","Roanoke River   Roanoke Rapids","OR7_8490_0000",125.22,75.17,951.9,727.4,654.7,297.196,1178.8,1171.4,1054.3,124.588,365071.721,372688.013,363995.846,366666.182,12361.169,12615.045,4136.888,4154.604
"133","Kerr Lake","OR7_8470_8490",94.32,69.18,971.1,679.9,611.9,359.169,1187.6,1144.7,1030.2,157.373,365071.721,372688.013,363995.846,366666.182,12401.229,12655.105,4158.08,4175.797
